"servicecenterid","serviceid","servicenameen","servicenamear","isavailable"
"513","179","Renewal of PRO card for government sector entity","تجديد بطاقة مندوب لجهة قطاع حكومي","true"
"501","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"480","1306","Renewal of PRO card for private sector or free zone","تجديد بطاقة مندوب لجهة قطاع خاص او المنطقة الحرة","true"
"490","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"493","184","Stopping a establishment card.","إيقاف بطاقة المنشأة.","true"
"536","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"476","104","Status Modification","تعديل وضع","true"
"492","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"531","737","","الصيانة من قبل الشركات","true"
"484","104","Status Modification","تعديل وضع","true"
"514","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"514","1303","","بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"493","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"471","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"514","1307","Renewal of PRO card for UAE or GCC citizens","تجديد بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"497","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"516","179","Renewal of PRO card for government sector entity","تجديد بطاقة مندوب لجهة قطاع حكومي","true"
"484","1212","Multi Short Term Visit Visa - For Work Or Entertainment","إذن دخول زيارة قصيرة لعدة سفرات - عمل أو ترفية","true"
"493","1273","Renewal of PRO card for government sector","بطاقة مندوب لجهة قطاع حكومي","true"
"484","159","","كشف حركة المسافرين عبر بوابة الامارات","true"
"507","1252","","دخول مسافرين عند الوصول  ( 46 )  دولة","true"
"471","858","","الاقفالات الشهرية للحسابات التابعة للادارة","true"
"516","104","Status Modification","تعديل وضع","true"
"481","1274","","تجديد بطاقة مندوب اجنبي","true"
"480","737","","الصيانة من قبل الشركات","true"
"493","181","Modification of PRO card","تعديل بيانات بطاقة مندوب","true"
"493","119","Request electronic passport renewal.","طلب تجديد جواز السفر الإلكتروني.","true"
"499","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"531","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"500","104","Status Modification","تعديل وضع","true"
"471","144","","التحاق بحار من المطار إلى وسيلة راسية في احد موانئ الدولة","true"
"535","184","Stopping a establishment card.","إيقاف بطاقة المنشأة.","true"
"502","821","","استلام وتحويل الإقتراحات .","true"
"496","1216","Multiple Short Visit Visa For (Festival/Fairs/Conference/Symposium)","إذن دخول زيارة قصيرة لعدة سفرات(مهرجان/معارض/مؤتمر/ندوة)","true"
"501","172","Renewal of the establishment card of a private sector or free zone","تجديد بطاقة منشأة لمؤسسات القطاع الخاص او المنطقه الحره","true"
"499","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"471","1219","-Single entry long term tourist visit visa","أذن دخول زيارة طويلة سياحية سفره واحده","true"
"535","1301","","بطاقة مندوب لجهة قطاع خاص او المنطقه الحره","true"
"498","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"501","177","Issuance of New PRO card","إصدار بطاقة جديدة للمندوب.","true"
"496","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"471","109","Request to add a foreigner spouse initially","طلب إضافة زوجة اجنبية اضافة مبدئية","true"
"484","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"481","1243","-Employment visa for supporting servant category for partner or investor","اذن دخول عمل لفئة عمال الخدمة المساعدة  لشريك او مستثمر","true"
"513","1274","","تجديد بطاقة مندوب اجنبي","true"
"495","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"493","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"493","179","Renewal of PRO card for government sector entity","تجديد بطاقة مندوب لجهة قطاع حكومي","true"
"535","173","Modify the data of the establishment card.","تعديل بيانات بطاقة المنشأة.","true"
"531","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"504","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"513","1307","Renewal of PRO card for UAE or GCC citizens","تجديد بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"471","1317","Adding new services category on the establishment card for the national companies beneficiary of small enterprises support programme","اضافه فئه خدمات جديده على بطاقة منشاه للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"536","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"472","737","","الصيانة من قبل الشركات","true"
"493","1271","Renewal of establishment card for national companies benefiting from the SME support programme","تجديد بطاقه منشأه للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"478","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"498","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"495","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"496","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"472","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"513","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"507","144","","التحاق بحار من المطار إلى وسيلة راسية في احد موانئ الدولة","true"
"476","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"484","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"509","157","","دخول اليخوت.","true"
"535","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"490","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"481","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"490","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"493","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"492","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"503","1241","Entry Permit For Domestic Helpers Category Escorting for GCC Residents","إذن دخول للمرافقين الفئة المساعده لمقيمي دول مجلس التعاون","true"
"516","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"498","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"471","611","","آلية طلبات الأجهزة.","true"
"514","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"481","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"474","159","","كشف حركة المسافرين عبر بوابة الامارات","true"
"501","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"499","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"481","175","Issuance of an additional copy of the establishment card.","إصدار نسخة إضافية من بطاقة المنشأة.","true"
"495","356","Request for settlement of the violators records.","طلب تسديد قيود المخالفين.","true"
"492","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"484","737","","الصيانة من قبل الشركات","true"
"500","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"516","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"507","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"500","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"471","463","Inspection of establishments which apply to renew residencies of the partners.","التفتيش على المنشآت التي تتقدم بطلب تجديد أقامات الشركاء .","true"
"499","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"501","1313","Replacement of PRO Card","بدل تالف لبطاقة مندوب","true"
"493","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"536","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"484","80","Renewal of work residence","تجديد إقامة عمل","true"
"499","737","","الصيانة من قبل الشركات","true"
"515","1287","","كف البحث عن مكفول لكفيل من الجهات الخاصة ( قبل الغاء بطاقة العمل)","true"
"480","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"504","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"484","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"501","1273","Renewal of PRO card for government sector","بطاقة مندوب لجهة قطاع حكومي","true"
"496","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"516","196","Certificate issuance of absence of the establishment card.","إصدار شهادة عدم وجود بطاقة منشأة.","true"
"490","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"474","1239","Entry Permit of escort for GCC citizens","إذن دخول مرافقين لمواطني مجلس التعاون","true"
"514","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"493","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"472","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"480","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"515","821","","استلام وتحويل الإقتراحات .","true"
"478","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"504","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"513","821","","استلام وتحويل الإقتراحات .","true"
"481","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"471","1299","Stop search of a sponsored one by a sponsor from the government agencies","كف البحث عن مكفول لكفيل من الجهات الحكومية","true"
"493","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"654","146","","ترك عبور بحار من وسيله إلى وسيله أخرى في نفس الميناء.","true"
"503","1361","","دخول مقيمي دولة الامارات العربية المتحدة فاقدين جوازات السفر خارج الدولة","true"
"496","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"513","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"484","790","Approval of entry permits submitted through the default administration system (online).","اعتماد أذونات الدخول المقدمة عن طريق الإدارة الافتراضية نظام الـ(online).","true"
"514","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"508","144","","التحاق بحار من المطار إلى وسيلة راسية في احد موانئ الدولة","true"
"531","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"535","172","Renewal of the establishment card of a private sector or free zone","تجديد بطاقة منشأة لمؤسسات القطاع الخاص او المنطقه الحره","true"
"838","1307","Renewal of PRO card for UAE or GCC citizens","تجديد بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"480","1303","","بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"516","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"492","737","","الصيانة من قبل الشركات","true"
"512","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"475","423","","دخول المسافرين بموجب (إتفاقية الاعفاء المتبادل)","true"
"503","492","","دخول الفئات المساعدة ومن في حكمهم برفقة الكفيل ( مواطن اماراتي ) عبر منفذ حتا البري","true"
"471","159","","كشف حركة المسافرين عبر بوابة الامارات","true"
"484","179","Renewal of PRO card for government sector entity","تجديد بطاقة مندوب لجهة قطاع حكومي","true"
"495","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"536","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"476","1298","Stop search of one sponsored by a resident sponsor","كف البحث عن مكفول لكفيل مقيم","true"
"516","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"471","1363","","إجراء المشتريات","true"
"501","1274","","تجديد بطاقة مندوب اجنبي","true"
"515","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"504","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"501","1307","Renewal of PRO card for UAE or GCC citizens","تجديد بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"500","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"496","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"471","121","Request for cancellation of the death","طلب شطب وفاة","true"
"514","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"497","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"481","1234","Long term visit entry permit for one journey of work or leisure","أذن دخول زيارة طويلة لسفرة واحدة عمل أو ترفيه","true"
"471","199","Increase the number of visit entry permits to an establishment.","زيادة عدد اذونات  الدخول للزياره للمنشآة.","true"
"476","346","","طلب تثبيت ختم الدخـول أو الخـروج","true"
"536","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"496","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"654","1252","","دخول مسافرين عند الوصول  ( 46 )  دولة","true"
"508","158","","خروج اليخوت.","true"
"480","789","Cancelling of the validity of the work entry permits which were issued by the default management system On-Line.","إلغاء صلاحية أذونات الدخول عمل الصادرة عن طريق الادارة الافتراضية نظام الـ On-Line","true"
"531","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"496","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"514","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"471","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"512","184","Stopping a establishment card.","إيقاف بطاقة المنشأة.","true"
"498","80","Renewal of work residence","تجديد إقامة عمل","true"
"481","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"481","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"472","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"490","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"495","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"481","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"480","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"501","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"484","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"501","119","Request electronic passport renewal.","طلب تجديد جواز السفر الإلكتروني.","true"
"509","1252","","دخول مسافرين عند الوصول  ( 46 )  دولة","true"
"509","821","","استلام وتحويل الإقتراحات .","true"
"514","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"471","1298","Stop search of one sponsored by a resident sponsor","كف البحث عن مكفول لكفيل مقيم","true"
"514","179","Renewal of PRO card for government sector entity","تجديد بطاقة مندوب لجهة قطاع حكومي","true"
"516","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"512","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"512","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"509","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"484","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"512","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"516","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"515","1150","Chasing of the wanted persons","ملاحقة المطلوبين","true"
"495","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"495","1283","Stop search of one sponsored by private entities (partners and investors)","كف البحث عن مكفول لكفيل من الجهات الخاصة ( الشركاء والمستثمرين)","true"
"508","146","","ترك عبور بحار من وسيله إلى وسيله أخرى في نفس الميناء.","true"
"497","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"499","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"490","104","Status Modification","تعديل وضع","true"
"480","1310","PRO card for national companies recipient of SME support programme","بطاقه مندوب للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"501","1243","-Employment visa for supporting servant category for partner or investor","اذن دخول عمل لفئة عمال الخدمة المساعدة  لشريك او مستثمر","true"
"513","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"501","1306","Renewal of PRO card for private sector or free zone","تجديد بطاقة مندوب لجهة قطاع خاص او المنطقة الحرة","true"
"512","1273","Renewal of PRO card for government sector","بطاقة مندوب لجهة قطاع حكومي","true"
"495","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"471","346","","طلب تثبيت ختم الدخـول أو الخـروج","true"
"472","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"514","173","Modify the data of the establishment card.","تعديل بيانات بطاقة المنشأة.","true"
"512","1212","Multi Short Term Visit Visa - For Work Or Entertainment","إذن دخول زيارة قصيرة لعدة سفرات - عمل أو ترفية","true"
"501","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"481","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"472","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"516","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"514","1310","PRO card for national companies recipient of SME support programme","بطاقه مندوب للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"499","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"504","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"501","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"481","244","Request to issue permit of exit for  people under the entry permit sponsorship (Visits) after the case is finished.","طلب إصدار تصريح مغادرة لمكفولي أذن دخول (زيارات) بعد إنتهاء القضية مخالف  .","true"
"498","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"471","657","Registration of temporary release","تسجيل افراج مؤقت","true"
"515","385","Receiving information and reports","تلقي المعلومات والبلاغات","true"
"497","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"515","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"501","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"503","1362","","دخول اطفال مواطني دولة الامارات حديثي الولادة خارج الدولة","true"
"501","1234","Long term visit entry permit for one journey of work or leisure","أذن دخول زيارة طويلة لسفرة واحدة عمل أو ترفيه","true"
"535","1307","Renewal of PRO card for UAE or GCC citizens","تجديد بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
