"service_center_id","branch_name_en","branch_name_ar","is_head_office","location_en","location_ar","po_box_no_en","po_box_no_ar","email_contact","tel_contact","fax_contact","working_hour_en","working_hour_ar","geo_add_latitude","geo_add_longitude"
"492","Emirates Airlines Section","قسم طيران الإمارات","false","Emirates Building- Second Floor- Airport Str Umm Ramul","مبنى طيران الإمارات الطابق 2 - شارع المطار - منطقة أم الرمول","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص. ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30  am - 02:30 pm","07:30  am - 02:30 pm","",""
"496","Dubai international Financial Center","قسم مركز دبي المالي العالمي","false","Dubai International Financia Center- Sheikh Zayed Road","مبنى مركز دبي المالي العالمي - شارع الشيخ زايد","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","7:30 am - 5:00 pm","7:30 am - 5:00 pm","25.213787","55.281880"
"497","Municipality Clinic Section","قسم عيادة البلدية","false","Municipality Clinic and Medical Services Building- Etihad Metro Station oppsit side- Alkour","مبنى عيادة البلدية والخدمات الطبية - مقابل محطة مترو الاتحاد - منطقة الخور","UAE – Dubai - PO Box: 4333","دولة الامارات العربية المتحدة  - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 am  -02:30 pm","07:30 am  -02:30 pm","",""
"493","Almanara Center Section","قسم الإقامة وشؤون الأجانب - مركز المنارة بلدية دبي شارع الشيخ زايد.","false","Almanara Municipality Building- Sheikh Zayed Road","مبنى بلدية المنارة - شارع الشيخ زايد","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","7:30 am - 8:00 pm","7:30 am - 8:00 pm","25.155773","55.227100"
"499","TECOM City Section","قسم مدينة دبي للتكنولوجيا والإعلام","false","Knowledg Village","قرية المعرفة - مدينة دبي للإعلام","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","7:30 am - 4:30 pm","7:30 am - 4:30 pm","25.102386","55.161018"
"495","Mediacl Fitness Section","قسم اللياقة الطبية","false","Muhaisna 1- Municipality Clinic Building- Labors Accomodation","منطقة المحيصنة 1 مبنى عيادة البلدية - منطقة سكن العمال","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 am  -08:00 pm","07:30 am  -08:00 pm","25.266632","55.417141"
"500","Rashid Hospital Section","قسم مستشفى راشد","false","Rashid Hospital","مبنى مستشفى راشد","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","7:30 am - 2:30 pm","7:30 am - 2:30 pm","25.241745","55.319778"
"480","Jebel Ali Section","قسم جبل علي","false","Jebel Ali Free Zone","المنطقة الحرة في جبل علي","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 am  - 08:00 pm","07:30 am  - 08:00 pm","",""
"536","DEWA Section","قسم ديوا","false","DEWA Main Building - Next to Hayat Grand Hotel","المبنى الرئيسي لهيئة الكهرباء والمياه - بجانب فندق حياة جراند","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","7:30 am - 8:00 pm","7:30 am - 8:00 pm","25.227188","55.324127"
"498","Alsafa Clinic Section","قسم عيادة الصفا","false","Alsafa- Alsafa Medical Clinic Building","منطقة الصفا - مبنى عيادة الصفا الصحية","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 am  - 2:30 pm","07:30 am  - 2:30 pm","25.188654","55.237473"
"504","Hatta Section","قسم حتا","false","Hatta Str- Oman","شارع حتا - عمان","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","7:30 am - 2:30 pm","7:30 am - 2:30 pm","",""
"814","Al Maktoum International Airport - 4","مطار آل مكتوم الدولي","false","Jebel Ali Free Zone","المنطقة الحرة في جبل علي","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","Duty Timing","Duty Timing","",""
"507","Jebel Ali Port","قسم جوازات ميناء جبل علي.","false","Jabel Ali Free Zone","المنطقة الحرة في جبل علي","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","Duty Timing","Duty Timing","",""
"838","Alkhail Center Section","الخيل مول","false","Alkhail Mall- Al Qouz Industrial","الخيل مول - القوز الصناعية","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 am  - 2:30 pm","07:30 am  - 2:30 pm","25.149158","55.245511"
"515","Investigation Department- Alaweer Building","إدارة التحقيق  مبنى العوير","false","Alaweer- Hatta Oman Str- Near to Dubai police Reformatory and Punitive Institutions","منطقة العوير - شارع حتا عمان -  بالقرب من مبنى المنشآت الإصلاحية والعقابية لشرطة دبي","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","07:30 am - 08:00 pm","07:30 am - 08:00 pm","",""
"474","Dubai International Airport - Terminal 1","مطار دبي الدولي ( مبنى 1 )","false","Dubai International Airport - Terminal 1","مطار دبي الدولي - مبنى 1","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","","","",""
"475","Dubai International Airport - Terminal 2","مطار دبي الدولي ( مبنى 2 )","false","Dubai International Airport - Terminal 2","مطار دبي الدولي - مبنى 2","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","","","",""
"476","Dubai International Airport - Terminal 3","مطار دبي الدولي ( مبنى 3 )","false","Dubai International Airport - Terminal 3","مطار دبي الدولي - مبنى 3","UAE – Dubai - PO Box: 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","04 3139999 - 8005111","04 3981119","","","",""
"503","Hatta Border Exit","منفذ حتا الحدودي","false","Jebel Ali Free Zone","","","","","04 3139999 - 8005111","04 3981119","","","",""
"654","Hamrya Port","قسم جوازات ميناء الحمرية.","false","","","","","","04 3139999 - 8005111","04 3981119","","","",""
"509","Shenndagha Port","قسم جوازات ميناء الشندغة.","false","","","","","","04 3139999 - 8005111","04 3981119","","","",""
"508","Rashid Port","قسم جوازات ميناء راشد.","false","","","","","","04 3139999 - 8005111","04 3981119","","","",""
"513","Ladies Section- General Directorate","قسم السيدات - إدارة الإقامة","false","","","","","","04 3139999 - 8005111","04 3981119","","","",""
"512","Ladies Section- Labor Directorate","قسم السيدات - إدارة العمل","false","","","","","","04 3139999 - 8005111","04 3981119","","","",""
"514","Ladies Section - Entries permission Directorate","قسم السيدات -  أذونات الدخول","false","","","","","","04 3139999 - 8005111","04 3981119","","","",""
"502","Dubai Courts Section","فرع محاكم دبي","false","","","UAE -Dubai 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","","","","","",""
"835","airport service center terminal3","مركز جوازات مطار دبي المبنى 3","false","","","UAE -Dubai 4333","دولة الإمارات العربية المتحدة - دبي - ص.ب: 4333","amer@dnrd.ae","","","","","",""
