"professionid","professiondescen","professiondescar"
"1223031","SPECIALIST IN AVICULTURE","اختصاصى تربيه دواجن"
"1223041","SPECIALIST IN APICULTURE","اختصاصى تربيه نحل"
"1224000","PROF IN AQUATIC ANIMAL BREEDIN","اختصاصيو تربيه الاحياء المائيه"
"1224011","SPECIALIST IN PISCICULTURE","اختصاصى تربيه اسماك"
"1224021","SPECIALIST IN OSTREICULTURE","اختصاصى تربيه محار"
"1230000","PROF IN AIR AND SEA NAVIGATION","الاختصاصيون فى الملاحه والطيران"
"1231000","PROFESSIONAL IN AIR NAVIGATION","الاختصاصيون فى الملاحه الجويه"
"1231010","OPERATIONS DUTY MANAGER AIRSIDE","المدير المناوب لعمليات الساحه الجويه"
"1231011","AIR TRANSPORT PILOT","ملاح جوى"
"1231021","AVIATION GUIDING OFFICER","مرشد طيران"
"1231022","FLIGHT OPERATOINS CONTROLLER","مراقب عمليات طيران"
"1231025","OPS CONTROL ASST","مساعد مراقب عمليات طيران"
"1231031","FLIGHT TRAINING SUPERINTENDENT","ملاحظ تدريب طيران"
"1231101","AIRCRAFT ENG TRAINING SUPERINTENDENT","محظ تدريب هندسه طيران"
"1231111","AIRCRAFT TECHNICION TRAINING SUPERINTEND","محظ تدريب فنى طيران"
"1231121","FLIGHT CONTROL SUPERVISOR","مشرف مراقبة طيران"
"1232000","PROF IN MARITIME NAVIGATION","الاختصاصيون فى الملاحه البحريه"
"1232011","SEAFARER","ملاح بحرى"
"1232012","SR.MARINE CONTROL OFFICER","ضابط المراقبه البحريه"
"1232013","CARGO MARINE OFFICER","ضابط العمليات البحريه"
"1232021","SHIP GUIDING OFFICER","مرشد سفن"
"1232035","MARINE CONSTRUCTION DIVER","غواص انشاءات بحريه"
"1233000","PILOTS","الطيارون"
"1233011","COMMERCIAL PILOT","طيار تجارى"
"1233012","PILOT ASSISTANT","مساعد طيار"
"1233021","HELICOPTER PILOT","طيار سمتيات (هليوكبتر)"
"1233031","TRAINING PILOT","طيار تدريب"
"1233032","TRAINING LOCAL","طيار مدني"
"1233041","AGRICULTURE PILOT","طيار زراعى"
"1233050","SIMULATOR PILOT","طيار افتراضي"
"1233051","TEST PILOT","طيار تجريبى"
"1233052","CADET PILOT","طيار مبتدئ"
"1233053","AB-INITIO PILOT","طيار مرشح"
"1233061","PILOT","طيار"
"1234000","SHIP CAPTAINS","ربابنه السفن"
"1234011","PASSENGER SHIP CAPTAIN","ربان سفينه ركاب"
"1234021","CARGO SHIP CAPTAIN","ربان سفينه شحن"
"1234031","OIL TANKER CAPTAIN","ربان ناقله بترول"
"1234041","FERRY BOAT CAPTAIN","ربان عباره / معديه"
"1234051","SHIP CAPTAIN","قبطان سفينه / نوخذا"
"1234061","SHIP CAPTAIN ASSISTANT","ربان مركب صيد / نوخذه"
"1300000","PROF MED SCE AND PHARMACOLOGY","اختصاصيو العلوم الطبيةوالدواء"
"1301011","GENERAL HEALTH DOCTOR","طبيب استشارى / صحه عامه"
"1301021","CONSULTANT DOCTOR/PEDIATRIC","طبيب استشارى / اطفال"
"1301031","DOCTOR FOR DISEASES OF INTESTINE","طبيب استشاري/امعاءوقولون"
"1301041","DOCTOR FOR?CHEST?DISEASES","طبيب استشاري/صدريه"
"1301051","DOCTOR FOR SWELLINGS","طبيب استشاري/غدد"
"1301061","CARDIAC SPECIALIST DOCTOR","طبيب استشاري/قلب"
"1301071","DOCTOR FOR BLOOD RELATED ISSUES","طبيب استشاري/امراض الدم"
"1301081","NEUROLOGIST","طبيب استشارى / دماغ واعصاب"
"1301091","DERMATOLOGIST","طبيب استشارى / جلديه"
"1301092","CON DOCTOR/","طب/"
"1301111","GYNAECOLOGIST","طبيب استشارى / نسائيه وتوليد"
"1301121","Doctor Consultant Urologist","طبيب استشارى / مسالك بوليه"
"1301131","OPTHOMALOGIST DOCTOR","طبيب استشاري/عيون"
"1301141","CONSULTANT DOCTOR/ENT","طبيب استشارى / انف واذن وحنجره"
"1301151","RADIOLOGIST","طبيب استشاري/اشعه"
"1301161","ORTHOPAEDIC DOCTOR","طبيب استشاري/عظام"
"1301171","ANATHESIST","طبيب استشاري/تخدير"
"1301181","DOCTOR FOR FORENSIC MEDICINE","طبيب استشارى / طب شرعى"
"1301191","PSYCHOLOGIST","طبيب استشاري/امراض نفسيه"
"1301192","CONSULTANT DOCTOR","طبيب استشارى"
"1310000","PROFESSIONAL IN MEDICAL SCE","اختصاصيو العلوم الطبيه"
"1311000","MEDICAL DOCTORS","الاطباء"
"1311001","PHYSICIAN","طبيب"
"1311002","Doctor (Female)","طبيبه"
"1311003","STAFF MEDIC FOR FIELD OPERATIONS","طاقم طبي لموقع العمل"
"1311011","GENERAL PHYSICIAN","طبيب ممارس"
"1311012","STARTING G.P","طبيب مبتدئ"
"1311021","SPECIALIZED PHYSICIAN","طبيب اختصاصى / طب عام"
"1311031","SPECIALIZED PHYSICIAN HYGIENE","طبيب اختصاصى / اسنان"
"1311041","SPECIALIZED PHYSICIAN PEDIATRY","طبيب اختصاصى /اطفال"
"1311051","SPECIALIZED PHYSICIAN INTERNAL","طبيب اختصاصى باطنيه"
"1311061","SPEC PHYS INTESTINE AND COLON","طبيب اختصاصى / وقولون"
"1311071","SPECIALIZED PHYSICIAN CHEST","طبيب اختصاصى / صدريه"
"1311081","SPECIALIZED PHYSICIAN GLANDS","طبيب اختصاصى / غدد"
"1311091","SPECIALIZED PHYSICIAN HEART","طبيب اختصاصى / قلب"
"1311101","SPECIALIZED PHYS BLOOD VESSELS","طبيب اختصاصى / اوعيه دمويه"
"1311111","SPECIALIZED PHY BLOOD DISEASES","طبيب اختصاصى / امراض الدم"
"1311121","SPEC PHYS BRAIN AND NERVES","طبيب اختصاصى / دماغ واعصاب"
"1311131","SPECIALIZED PHYSICIAN ALLERGY","طبيب اختصاصى / حساسيه"
"1311141","SPECIALIZED PHYSICIAN SKIN","طبيب اختصاصى / جلديه"
"1311151","SPEC PHYS VENERAL DISEASES","طبيب اختصاصى / تناسليه"
"1311161","SPEC PHY GYNECOLOGY OBSTETRICS","طبيب اختصاصى / نسائيه وتوليد"
"1311171","SPECIALIZ PHYS URINARY TRACTS","طبيب اختصاصى / مسالك بوليه"
"1311181","SPEC PHYS OPHTHALMOLOGY","طبيب اختصاصى / عيون"
"1311191","SPEC PHYS OTORHINO LARYNGOLOGY","طبيب اختصاصى / انف واذن وحنجره"
"1311201","SPECIALIZED PHYSICIAN X RAYS","طبيب اختصاصى / اشعه"
"1311211","SPECIALIZ PHYSICIAN ENDOSCOPY","طبيب اختصاصي/ تنظير"
"1311221","SPECIALIZED PHYS ORTHOPEDICS","طبيب اختصاصى / عظام"
"1311231","SPECIALIZED PHYS ANESTHESIA","طبيب اختصاصى / تخدير"
"1311241","SPEC PHYS BLOOD TRANSFUSION","طبيب اختصاصى / نقل دم"
"112031","HEALTH AFFAIRS DIRECTOR","مدير شؤون صحيه"
"112041","SOCIAL AFFAIRS DIRECTOR","مدير شؤون اجتماعيه"
"112051","LABOUR AFFAIRS DIRECTOR","مدير شؤون عمل وعمال"
"112061","CULTURAL INFORMATION DIRECTOR","مدير شؤون ثقافه واعلام"
"112071","AGRI AND IRRI AFFAIRS DIRECTOR","مدير شؤون زراعيةورى"
"112081","INDUSTRIAL AFFAIRS DIRECTOR","مدير شؤون صناعيه"
"112091","YOUTH CARE AND SPORT DIRECTOR","مدير رعايه شباب ورياضه"
"112101","PUBLIC WORKS SERVICES DIRECTOR","مدير اشغال ومرافق عامه"
"112111","MUNICIPAL RURAL AFF DIRECTOR","مدير شؤون بلديه وقرويه"
"112121","ECONOMIC  COMMERC AFF DIRECTR","مدير شؤون اقتصاديه وتجاريه"
"112131","FINANCIAL ACOUNTING AFF DIRCTR","مدير شؤون ماليه ومحاسبه"
"112141","COURT JUSTICE AFFAIRS DIRECTOR","مدير شؤون قضائيه وعدليه"
"112151","RELIGIOUS AFFAIRS DIRECTOR","مدير شؤون دينيه"
"112152","SENIOR MANAGER GOVERNMENT PARTNERSHIP","مدير اول قسم الشراكه الحكوميه"
"112153","DIRECTOR CLIENT PARTNERSHIP","مدير ادارة شراكة العملاء"
"112154","DIRECTOR CLIENT MANAGEMENT","مدير ادارة العملاء"
"112155","SR.MANAGER CLIENT PARTNERSHIP","مدير اول قسم شراكة العملاء"
"112501","H H RULER`S BUSINESS DIRECTOR","مدير اعمال سمو الحاكم"
"112502","BUSINESS MANAGER AND PRIVATE ACC","مدير اعمال ومرافق خاص"
"113000","RESEARCH DEVELOPMENT DIRECTORS","مديرو الابحاث والتنميه"
"113011","RESEARCH STUDIES MANAGER","مدير ابحاث ودراسات"
"113013","INFORMATION AND RESEARCH ADMIN. MANAGER","مدير إدارة المعلومات والبحوث"
"113015","R  D MANAGER","مدير البحوث و التطوير"
"113021","STATISTICS MANAGER","مدير احصاء"
"113031","PLANNING MANAGER","مدير تخطيط"
"113041","PROJECTS MANAGER","مدير مشاريع"
"113042","MANAGER PMO","مدير ادارة المشاريع"
"113051","INVESTMENT MANAGER","مدير استثمار"
"113052","INVESTMENT CONTROLLER","مراقب استثمارات"
"113061","FOLLOW UP MANAGER","مدير متابعه"
"113065","FOLLOW-UP MAN","متابع"
"113071","TRAINING MANAGER","مدير تدريب"
"113081","COMPUTER SYSTEMS MANAGER","مدير انظمه كمبيوتر"
"113082","DIRECTOR OF SOFTWARE MANUFACTURING","مدير تصنيع الانظمه"
"113085","DEVELOPMENT MANAGER","مدير تطوير"
"113086","BUSINESS DEVELOPMENT MANAGER","مدير تطوير أعمال"
"113087","HEAD OF BUSINESS DEVELOPMENT SECTION","رئيس قسم تطوير الاعمال"
"113088","IT PROGRAM MANAGER","مدير برنامج تكنولوجيا المعلومات"
"113089","KEY SKILLS PROGRAM MANAGER","مدير برنامج المهارات الاساسيه"
"113090","HEAD OF ORGANIZATIONAL DEVELOPMENT","مدير ادارة التطوير المؤسسي"
"113091","INFORMATION TECH CENTR MANAGER","مدير مركز تقنيه المعلومات"
"113092","DIRECTOR CORPORATE COMMUNICATIONS","مدير ادارة - الاتصال المؤسسي"
"113093","SR.ADMINISTRATOR CORPORATE COMMUNICATION","اداري اول - الاتصال المؤسسي"
"120000","LOCAL ADMINISTRATION AND SERVS","مديروالادارات والخدمات المحليه"
"121000","ADMINISTRATION DIRECTORS","المديرون الاداريون"
"121001","SENIOR PROJ MNG-STRATEGY AND DEVELOPMENT","مدير مشروع اول-الاستراتيجيه والسياسات"
"121002","HEAD OF SPECIAL PROJECT","مدير مشاريع خاصه"
"121003","LIFE INSURANCE MANAGER","مدير تأمين الحياه"
"121004","MEDICAL DEPT MANAGER","مدير التأمين الصحي"
"121005","CLAIMS DEPT MANAGER","مدير دائره المطالبات"
"121006","MANAGER SALES  BUSINESS DEVELOPMENT","مدير المبيعات و تطوير الاعمال"
"121007","GENERAL DIVISION DEPT MANAGER","مدير دائره التأمين العام"
"121008","QUALITY CENTRE MANAGER","مدير مركز الجوده"
"121009","MOTOR U/W DEPT MANAGER","مدير دائره تأمين السيارات"
"121010","MANAGER COPERATE CUSTOMER","مدير خدمه كبار العملاء"
"121011","LOCAL GOVERNOR PREFECT","حاكم محلى (محافظ)"
"121012","DIRECTOR OF INSPECTION","مدير الرقابه"
"121013","SENIOR PROJECT MANAGER","مدير مشروع اول"
"121014","EXECUTIVE DIRECTOR OF NATIONAL WORKFORCE","المدير التنفيذي للكوادر الوطنيه"
"121015","HEAD OF COMPLIANCE AND ASSURANCE","مديرالمتابعه وضمان الجودة"
"121016","CORPORATE RELATIONSHIP MANAGER","مدير العلاقات المؤسسيه"
"121017","COMMUNICATION MANAGER","مدير اتصال"
"121018","CATEGORY MANAGER","مدير صنف"
"121019","MANAGER STAND PLANNING","مدير تخطيط المواقف"
"121020","MANAGER E-SERVICES","مدير قسم الخدمات الالكترونيه"
"121021","HEAD OF MUNICIPALITY COUNCIL","رئيس مجلس بلدى"
"121022","MEDICAL UNDER- WRITING MANAGER","مدير الاكتتاب الصحي"
"121023","PROJECTS CONTRACTS MANAGER","مدير عقود المشاريع"
"121024","SENIOR MANAGER PROJECT EXCELLENCE","مدير اول قسم مشاريع متميزة"
"121025","HEAD PROJECT DELIVERY","مدير ادارة المشاريع"
"121026","MANAGER SOLUTION SUPPORT","مدير دعم الحلول الالكترونيه"
"121027","HEAD INFRASTRUCTURE MANAGEMENT","رئيس ادارة البنية التحتية الالكترونيه"
"121028","SENIOR PROJECT MANAGERS","مدير اول قسم مشاريع"
"121029","SENIOR PROGRAM MANAGER","مدير اول قسم برامج"
"121030","PROJECT LEAD","قائد مشروع"
"121031","DIRECTOR ETHICS RESOURCE CENTER","مدير مركز اخلاقيات العمل"
"121032","CORPORATE STRATEGIC PERFORMANCE MANAGER","مدير الأداء الاستراتيجي المؤسسي"
"121033","CORPORATE EVALUAT PERFORMANCE SPECIALIST","اخصائي قياس الاداء المؤسسي"
"121034","HEAD OF PERFORMANCE MANAGEMENT","مدير ادارة الاداء"
"121035","STRATEGY CONSULTANT","استشاري استراتيجيه"
"121036","SR.MANAGER CORPORATE EXCELLENCE","مدير اول قسم - التميز المؤسسي"
"121037","PRACTICE MANAGER","مدير ادارة الممارسة"
"121038","MANAGER PROCEDURE AND FOLLOW UP","مدير الاجراءات والمتابعه"
"121039","DIRECTOR EXTERNAL RELATIONS","مدير ادارة العلاقات الخارجيه"
"121040","DIRECTOR POLICIES AND PROCEDURES","مدير ادارة السياسات والاجراءات"
"121041","MANAGER ENFORCEMENT AND FOLLOW UP","مدير قسم التنفيذ والمتابعه"
"122000","MUNICIPALITIES DIRECTORS","مديرو المرافق المحليه"
"122011","RAILWAY STATION DIRECTOR","مدير سكه حديد"
"122021","SEAPORT DIRECTOR","مدير ميناء"
"122031","AIRPORT DIRECTOR","مدير مطار"
"122033","DIRECTOR GENERAL SHARJAH AIRPORT A.","مدير عام هيئه مطار الشارقه"
"122041","POSTS AND TELEPHONE DIRECTOR","مدير بريد وهاتف"
"122051","TELECOMMUNICATIONS DIRECTOR","مدير اتصالات سلكيه ولاسلكيه"
"122061","WATER AND SEWAGE SYS DIRECTOR","مدير مياه وصرف صحى"
"122071","ELECTRICITY DIRECTOR","مدير كهرباء"
"122072","LEADER ELECRICITY TEAM","رئيس فرقة الكهرباء"
"122073","SENIOR TEAMLEADER ELECTRICITY AND PLUMBING","رئيس فرقه اول الكهرباء والسباكه"
"122081","ROAD TRANSPORT DIRECTOR","مدير نقل برى"
"213231","INFORMATION TECH MANAGER","مدير تقنيه المعلومات"
"213232","IT AUDIT EXPERT","خبير تدقيق نظم المعلومات"
"213233","TEAM LEADER-IT SUPPORT","رئيس فريق الدعم التقني"
"213234","WORK TEAM LEADER","رئيس فريق عمل"
"213235","CHIEF TEAM LEADER","رئيس فرقة رئيسي"
"213236","CHIEF EXECUTIVE DIRECTOR GENERALS OFFIC","تنفيذي رئيسي مكتب المدير العام"
"213237","DIRECTOR INFORMATION TECHNOLOGY","مدير ادارة تقنية المعلومات"
"213238","INFORMATION TECHNOLOGY ADMINISTRATOR","اداري تقنية المعلومات"
"213239","SENIOR TECHNOLOGY SPECIALIST","اخصائي اول تقنية معلومات"
"213240","MANAGER SUPPORT AND INTEGRATION","مدير الدعم والتكامل"
"213241","IT RELATIONSHIP MANAGEMENT SPECIALIST","اخصائي ادارة علاقات تقنية المعلومات"
"213242","IT RELATIONSHIP EXECUTIVE","تنفيذي علاقات تقنية المعلومات"
"213243","TEAM LEADER IT STRATEGIST","رئيس فريق الاستراتيجيه تقنية المعلومات"
"214000","TOURISM ESTABLISHMENT MANAGERS","مديرو المؤسسات السياحيه"
"214011","HOTEL MANAGER","مدير فندق"
"214021","RESTAURANT COFFEE SHOP MANAGER","مدير مطعم ومقهى"
"214023","FRONT OFFICE MANAGER","مدير الإستقبال"
"214025","FOOD AND BEVERAGE MANAGER","مدير الأغذية والمشروبات"
"214031","TRAVEL AGENCY MANAGER","مدير وكاله سياحيه"
"214041","HISTORIC MONUMENTS DIRECTOR","مدير اثار"
"215000","SECURITY SERVICES MANAGERS","مديرو خدمات امنيه"
"215001","DIRECTOR INTELLIGENCE","مدير ادارة الاستخبارات"
"215002","INTEL SYSTEM ADMINISTRATOR INTELLIGENCE","اداري نظم الاستخبارات"
"215003","MANAGER INTELLIGENCE OPERATIONS","مدير قسم العمليات الاستخباريه"
"215004","TEAM LEADER COLLATION","رئيس مجموعة ربط المعلومات الاستخباريه"
"215005","TEAM LEADER COLLECTION","رئيس مجموعة ربط المعلومات الاستخباريه"
"215006","MANAGER RISK PROFILE","مدير ادارة بيانات المخاطرة"
